planner,env_type,map_seed,episode_seed,target_ece,realized_ece,trust,attack_type,attack_eps,shield_enabled,density_override,success,collisions,near_misses,replans,avg_replan_latency_ms,path_length,cvar95,mean_risk,energy,safety_violations,shield_prevented
TrustAwareCVaR,static,1000,1040125,0.05,0.0395465213060379,0.7400271026905282,pgd,0.3,True,,1,0,0,3,8.479480333335232,33.1126983722081,0.3593140592177709,0.2684352199236552,33.562698372208104,0,0
CVaRPlanner,static,1000,1040133,0.05,0.04633603066205978,0.9321165527510744,spoofing,0.3,True,,1,0,0,3,3.6349180000267247,33.1126983722081,0.05099074418346087,0.007777864527371194,33.562698372208104,0,0
DynNavCurrent,static,1000,1040133,0.05,0.04633603066205978,0.9321165527510744,spoofing,0.3,True,,1,0,0,3,3.2385073333027017,33.1126983722081,0.05099074418346087,0.007777864527371194,33.562698372208104,0,0
TrustAwareCVaR,static,1000,1040133,0.05,0.04633603066205978,0.9321165527510744,spoofing,0.3,True,,1,0,0,3,4.973485666634285,33.1126983722081,0.05099074418346087,0.007777864527371194,33.562698372208104,0,0
CVaRPlanner,static,1000,1040154,0.05,0.03685191571712494,0.7467997697109857,fgsm,0.3,True,,1,0,0,4,4.815671749994976,33.698484809835,0.3771732747554779,0.32802385091781616,34.298484809835,0,0
DynNavCurrent,static,1000,1040154,0.05,0.03685191571712494,0.7467997697109857,fgsm,0.3,True,,1,0,0,4,5.189177749997498,33.698484809835,0.3771732747554779,0.32802385091781616,34.298484809835,0,0
TrustAwareCVaR,static,1000,1040154,0.05,0.03685191571712494,0.7467997697109857,fgsm,0.3,True,,1,0,0,3,8.877215000021957,33.1126983722081,0.3842151363690694,0.232005818022622,33.562698372208104,0,0
CVaRPlanner,static,1000,1040135,0.05,0.039123513102531426,0.7403298554475128,pgd,0.3,True,,1,0,0,3,6.69239099998246,33.1126983722081,0.38938118517398834,0.2717839413219028,33.562698372208104,0,0
DynNavCurrent,static,1000,1040135,0.05,0.039123513102531426,0.7403298554475128,pgd,0.3,True,,1,0,0,3,6.931253333334553,33.1126983722081,0.38938118517398834,0.2717839413219028,33.562698372208104,0,0
TrustAwareCVaR,static,1000,1040135,0.05,0.039123513102531426,0.7403298554475128,pgd,0.3,True,,1,0,0,3,9.474017333332085,32.5269119345812,0.3842151363690694,0.3284207172691822,32.9769119345812,0,0
CVaRPlanner,static,1000,1040143,0.05,0.04389312058687211,0.934218387864248,spoofing,0.3,True,,1,0,0,3,5.085021333362268,33.1126983722081,0.05099074418346087,0.015101880042089356,33.562698372208104,0,0
DynNavCurrent,static,1000,1040143,0.05,0.04389312058687211,0.934218387864248,spoofing,0.3,True,,1,0,0,3,3.9271713333353846,33.1126983722081,0.05099074418346087,0.015101880042089356,33.562698372208104,0,0
TrustAwareCVaR,static,1000,1040143,0.05,0.04389312058687211,0.934218387864248,spoofing,0.3,True,,1,0,0,3,5.219290000013643,33.1126983722081,0.05099074418346087,0.015101880042089356,33.562698372208104,0,0
CVaRPlanner,static,1000,1040164,0.05,0.048289247602224354,0.7369322167473129,fgsm,0.3,True,,1,0,0,4,5.416393499984906,36.2842712474619,0.3191022537648678,0.06000000238418579,36.8842712474619,0,0
DynNavCurrent,static,1000,1040164,0.05,0.048289247602224354,0.7369322167473129,fgsm,0.3,True,,1,0,0,4,4.703477750013008,36.2842712474619,0.3191022537648678,0.06000000238418579,36.8842712474619,0,0
TrustAwareCVaR,static,1000,1040164,0.05,0.048289247602224354,0.7369322167473129,fgsm,0.3,True,,1,0,0,3,8.288171666663402,33.1126983722081,0.3842151363690694,0.232005818022622,33.562698372208104,0,0
CVaRPlanner,static,1000,1040145,0.05,0.04020961657166481,0.739515384666403,pgd,0.3,True,,1,0,0,3,6.341569666687974,33.1126983722081,0.3578341603279114,0.25753139124976265,33.562698372208104,0,0
DynNavCurrent,static,1000,1040145,0.05,0.04020961657166481,0.739515384666403,pgd,0.3,True,,1,0,0,3,6.214637333338639,33.1126983722081,0.3578341603279114,0.25753139124976265,33.562698372208104,0,0
TrustAwareCVaR,static,1000,1040145,0.05,0.04020961657166481,0.739515384666403,pgd,0.3,True,,1,0,0,3,8.149061666661813,32.5269119345812,0.3842151363690694,0.31717071682214737,32.9769119345812,0,0
CVaRPlanner,static,1000,1040153,0.05,0.03688621520996094,0.9403428274559753,spoofing,0.3,True,,1,0,0,4,4.022629499999653,34.28427124746191,0.052833251655101776,0.011394047488768896,34.88427124746191,0,0
DynNavCurrent,static,1000,1040153,0.05,0.03688621520996094,0.9403428274559753,spoofing,0.3,True,,1,0,0,4,3.2935382500056676,34.28427124746191,0.052833251655101776,0.011394047488768896,34.88427124746191,0,0
TrustAwareCVaR,static,1000,1040153,0.05,0.03688621520996094,0.9403428274559753,spoofing,0.3,True,,1,0,0,4,4.731430999996178,33.69848480983501,0.13974489830434322,0.0,34.29848480983501,0,0
CVaRPlanner,static,1000,1040174,0.05,0.02531938433647156,0.7573128769586909,fgsm,0.3,True,,1,0,0,4,4.56466450000903,35.698484809835,0.37636417150497437,0.16741196066141129,36.298484809835,0,0
DynNavCurrent,static,1000,1040174,0.05,0.02531938433647156,0.7573128769586909,fgsm,0.3,True,,1,0,0,4,4.397645000011607,35.698484809835,0.37636417150497437,0.16741196066141129,36.298484809835,0,0
TrustAwareCVaR,static,1000,1040174,0.05,0.02531938433647156,0.7573128769586909,fgsm,0.3,True,,1,0,0,4,6.482428249995564,35.698484809835,0.37636417150497437,0.16741196066141129,36.298484809835,0,0
CVaRPlanner,static,1000,1040155,0.05,0.04248621240258217,0.7375906230386607,pgd,0.3,True,,1,0,0,3,6.149999999990996,32.5269119345812,0.3842151363690694,0.2684207148849964,32.9769119345812,0,0
DynNavCurrent,static,1000,1040155,0.05,0.04248621240258217,0.7375906230386607,pgd,0.3,True,,1,0,0,3,5.898123000008582,32.5269119345812,0.3842151363690694,0.2684207148849964,32.9769119345812,0,0
TrustAwareCVaR,static,1000,1040155,0.05,0.04248621240258217,0.7375906230386607,pgd,0.3,True,,1,0,0,3,7.6720429999947255,32.5269119345812,0.3842151363690694,0.2684207148849964,32.9769119345812,0,0
CVaRPlanner,static,1000,1040163,0.05,0.03113724648952484,0.9454756854864226,spoofing,0.3,True,,1,0,0,3,3.8221620000058465,33.1126983722081,0.14598680039246878,0.015101880042089356,33.562698372208104,0,0
DynNavCurrent,static,1000,1040163,0.05,0.03113724648952484,0.9454756854864226,spoofing,0.3,True,,1,0,0,3,3.4024123333627663,33.1126983722081,0.14598680039246878,0.015101880042089356,33.562698372208104,0,0
TrustAwareCVaR,static,1000,1040163,0.05,0.03113724648952484,0.9454756854864226,spoofing,0.3,True,,1,0,0,3,5.0996646666590095,33.1126983722081,0.14598680039246878,0.015101880042089356,33.562698372208104,0,0
