comparison,metric,mean_a,mean_b,n_a,n_b,t_stat,t_p,mwu_stat,mwu_p,cohens_d,ci95_diff_lo,ci95_diff_hi,significant_p05,group_col,f_stat,p_value,planner,test_type
TrustAwareCVaR_vs_DstarLite,collisions,0.35833333333333334,0.33166666666666667,600.0,600.0,0.9711981538659386,0.33164571959567274,184800.0,0.3314885356343277,0.05607215155709672,-0.026666666666666672,0.08000000000000002,False,,,,,
TrustAwareCVaR_vs_DstarLite,success,0.5016666666666667,0.5283333333333333,600.0,600.0,-0.9237347289260424,0.35581045731346683,175200.0,0.3556451247957969,-0.05333184944052566,-0.08333333333333331,0.028374999999999814,False,,,,,
TrustAwareCVaR_vs_DstarLite,cvar95,0.06501441449715958,0.08837264991882772,600.0,600.0,-5.292691921298095,1.44288818822745e-07,141217.0,9.767144772294672e-11,-0.3055737105499213,-0.031621905542755686,-0.014186097100537172,True,,,,,
TrustAwareCVaR_vs_DstarLite,energy,22.120932915376045,21.709897927956913,600.0,600.0,0.5240504286910573,0.6003404085079365,199320.0,0.0012212633365942655,0.030256065607372068,-1.124554911777991,1.9322864131490933,False,,,,,
TrustAwareCVaR_vs_DstarLite,path_length,21.554432915376044,21.174314594623578,600.0,600.0,0.4903996747060489,0.6239409129370882,204740.5,3.3326347880680194e-05,0.028313238420204227,-1.1487332707440612,1.8887343684180993,False,,,,,
TrustAwareCVaR_vs_DstarLite,avg_replan_latency_ms,5.946311530000073,7.140776271805862,600.0,600.0,-2.1838172611896716,0.029326203855519477,245183.0,1.8027010407955257e-27,-0.12608274836088082,-2.3072423146005305,-0.16106294168771954,True,,,,,
TrustAwareCVaR_vs_CVaRPlanner,collisions,0.35833333333333334,0.36833333333333335,600.0,600.0,-0.3598431209695146,0.7190278799767066,178200.0,0.7189414895729348,-0.02077555227577843,-0.065,0.043374999999999775,False,,,,,
TrustAwareCVaR_vs_CVaRPlanner,success,0.5016666666666667,0.49166666666666664,600.0,600.0,0.346146366360154,0.7292934996142783,181800.0,0.7292094718701317,0.019984769779704575,-0.048333333333333284,0.0650416666666665,False,,,,,
TrustAwareCVaR_vs_CVaRPlanner,cvar95,0.06501441449715958,0.05978141794252825,600.0,600.0,1.3746476275857598,0.16949888568938182,187440.5,0.21447357468090744,0.07936531778275187,-0.0020680979769199964,0.01280961111307101,False,,,,,
TrustAwareCVaR_vs_CVaRPlanner,energy,22.120932915376045,21.963239155161077,600.0,600.0,0.20035270442295558,0.84123875129089,179738.5,0.965109723525607,0.01156736878314629,-1.3490030943522084,1.6599870589844334,False,,,,,
TrustAwareCVaR_vs_CVaRPlanner,path_length,21.554432915376044,21.405155821827737,600.0,600.0,0.19200858079613645,0.8477680237833376,177932.5,0.7281954789961174,0.011085620580936737,-1.3600824847214295,1.6309649806372664,False,,,,,
TrustAwareCVaR_vs_CVaRPlanner,avg_replan_latency_ms,5.946311530000073,4.801513592638847,600.0,600.0,7.110640259733143,2.0038681272636797e-12,230663.0,3.1670308104898935e-17,0.41053300680675203,0.8243385002429792,1.4497012129099343,True,,,,,
TrustAwareCVaR_vs_RiskAwarePlanner,collisions,0.35833333333333334,0.35833333333333334,600.0,600.0,0.0,1.0,180000.0,1.0,0.0,-0.053333333333333344,0.051666666666666694,False,,,,,
TrustAwareCVaR_vs_RiskAwarePlanner,success,0.5016666666666667,0.5016666666666667,600.0,600.0,0.0,1.0,180000.0,1.0,0.0,-0.05500000000000005,0.05500000000000005,False,,,,,
